"sample","rownames.track_V9_all.","input","filtered","denoised","nonchim","run"
"001_NGS22-011","001_NGS22-011","110430","50092","49871","49760","r1"
"002_NGS22-011","002_NGS22-011","89522","49147","49067","48732","r1"
"003_NGS22-011","003_NGS22-011","134593","75122","75019","74646","r1"
"004_NGS22-011","004_NGS22-011","162014","92329","92221","91691","r1"
"005_NGS22-011","005_NGS22-011","170660","102527","102318","102052","r1"
"006_NGS22-011","006_NGS22-011","87271","47237","47173","46997","r1"
"007_NGS22-011","007_NGS22-011","76708","38109","38006","37808","r1"
"008_NGS22-011","008_NGS22-011","115814","64474","64380","64028","r1"
"009_NGS22-011","009_NGS22-011","65077","15970","15904","15850","r1"
"010_NGS22-011","010_NGS22-011","154580","56017","55833","55531","r1"
"011_NGS22-011","011_NGS22-011","133435","82659","82551","82364","r1"
"012_NGS22-011","012_NGS22-011","290535","177835","177598","177441","r1"
"013_NGS22-011","013_NGS22-011","75252","34102","33970","33970","r1"
"014_NGS22-011","014_NGS22-011","206277","141778","141632","141304","r1"
"015_NGS22-011","015_NGS22-011","120547","78699","78542","78459","r1"
"016_NGS22-011","016_NGS22-011","94481","66403","66224","65261","r1"
"017_NGS22-011","017_NGS22-011","100121","53894","53737","53651","r1"
"018_NGS22-011","018_NGS22-011","117564","74539","74405","74231","r1"
"019_NGS22-011","019_NGS22-011","84903","50192","49953","49926","r1"
"020_NGS22-011","020_NGS22-011","99229","51670","51524","51490","r1"
"021_NGS22-011","021_NGS22-011","72988","43839","43733","43472","r1"
"022_NGS22-011","022_NGS22-011","49734","26266","26026","25985","r1"
"023_NGS22-011","023_NGS22-011","108600","67190","67045","66727","r1"
"024_NGS22-011","024_NGS22-011","72161","44083","43955","43832","r1"
"025_NGS22-011","025_NGS22-011","93384","32406","32292","32292","r1"
"026_NGS22-011","026_NGS22-011","173807","117926","117827","117376","r1"
"027_NGS22-011","027_NGS22-011","119130","77451","77330","76804","r1"
"028_NGS22-011","028_NGS22-011","277780","193437","193330","192069","r1"
"029_NGS22-011","029_NGS22-011","136639","75544","75465","75314","r1"
"030_NGS22-011","030_NGS22-011","134275","88307","88207","87816","r1"
"031_NGS22-011","031_NGS22-011","155567","81791","81666","80051","r1"
"032_NGS22-011","032_NGS22-011","112631","63847","63765","63008","r1"
"033_NGS22-011","033_NGS22-011","155088","92196","92056","91813","r1"
"034_NGS22-011","034_NGS22-011","121439","76387","76256","75976","r1"
"035_NGS22-011","035_NGS22-011","140491","90988","90919","90320","r1"
"036_NGS22-011","036_NGS22-011","142548","94227","94120","94015","r1"
"037_NGS22-011","037_NGS22-011","103848","67823","67710","67590","r1"
"038_NGS22-011","038_NGS22-011","95729","63601","63515","63227","r1"
"039_NGS22-011","039_NGS22-011","140593","92372","92313","92043","r1"
"040_NGS22-011","040_NGS22-011","120212","76686","76566","76499","r1"
"041_NGS22-011","041_NGS22-011","144739","34872","34673","34476","r1"
"042_NGS22-011","042_NGS22-011","221235","116209","116028","115108","r1"
"043_NGS22-011","043_NGS22-011","193006","115149","114859","114236","r1"
"044_NGS22-011","044_NGS22-011","420973","229602","229138","226706","r1"
